10,0.224123
20,0.216156
30,0.164402
40,0.124736
50,0.117177
60,0.114774
70,0.113482
80,0.105906
90,0.098626
100,0.076837
110,0.076817
120,0.041977
130,0.038311
140,0.025440
150,0.042752
160,0.044476
170,0.040844
180,0.046406
190,0.033256
200,0.025225
10,0.224541
20,0.223835
30,0.223638
40,0.221171
50,0.213753
60,0.172608
70,0.126048
80,0.116494
90,0.113718
100,0.112265
10,0.226537
20,0.224429
30,0.223580
40,0.222363
50,0.212576
60,0.148259
70,0.118076
80,0.113346
90,0.104438
100,0.092452
110,0.080325
120,0.057975
130,0.054542
140,0.046004
150,0.035545
160,0.026379
170,0.031618
180,0.036153
190,0.037025
200,0.058574
10,0.223774
20,0.221500
30,0.197669
40,0.127895
50,0.116069
60,0.112467
70,0.108503
80,0.097534
90,0.083797
100,0.067984
110,0.055527
120,0.042007
10,0.221771
20,0.215614
30,0.172132
40,0.124851
50,0.115397
60,0.110724
70,0.104232
80,0.097443
90,0.084877
100,0.083023
110,0.063931
120,0.046798
10,0.224777
20,0.220685
30,0.198254
40,0.134306
50,0.116198
60,0.108761
70,0.100162
